"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"TC_050: Test post /V7/Binder/UpdateOwnerMember","1150","TC_050: POST /V7/Binder/UpdateOwnerMember","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_020: Test post /V7/BinderInfo/GetUnreviewedTRStamps","1286","TC_020: POST /V7/BinderInfo/GetUnreviewedTRStamps","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_016: Test post /V7/BinderInfo/GetBinderDetails","1286","TC_016: POST /V7/BinderInfo/GetBinderDetails","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_109: Test post /V7/TaxCaddyAPI/TaxCaddyDocumentCategories","1120","TC_109: POST /V7/TaxCaddyAPI/TaxCaddyDocumentCategories","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_039: Test post /V5.0/Binder/UpdateOwnerMember","1183","TC_039: POST /V5.0/Binder/UpdateOwnerMember","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_083: Test post /V7/Binder/ChangeBinderStatus","1199","TC_083: POST /V7/Binder/ChangeBinderStatus","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_034: Test post /V5.0/Binder/UpdateProjectID","1071","TC_034: POST /V5.0/Binder/UpdateProjectID","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_107: Test post /V7/TaxCaddyAPI/GetMemberDetails","1085","TC_107: POST /V7/TaxCaddyAPI/GetMemberDetails","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_027: Test post /V7/BinderInfo/GetDocumentPendingSignatureCount","1512","TC_027: POST /V7/BinderInfo/GetDocumentPendingSignatureCount","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_077: Test post /V7/Lookup/CustomFieldEnabled","1277","TC_077: POST /V7/Lookup/CustomFieldEnabled","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_028: Test post /V7/BinderInfo/GetDocumentPendingUploadCount","1516","TC_028: POST /V7/BinderInfo/GetDocumentPendingUploadCount","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_045: Test post /V7/Binder/UpdateProjectID","1239","TC_045: POST /V7/Binder/UpdateProjectID","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_069: Test post /V7/Lookup/BinderTypes","1248","TC_069: POST /V7/Lookup/BinderTypes","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_076: Test post /V7/Lookup/UserDomainDetails","1094","TC_076: POST /V7/Lookup/UserDomainDetails","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_002: Test post /V7/Authenticate/GetToken","1395","TC_002: POST /V7/Authenticate/GetToken","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_003: Test post /V5.0/BinderInfo/GetBinderDetails","1114","TC_003: POST /V5.0/BinderInfo/GetBinderDetails","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_014: Test post /V5.0/BinderInfo/GetBinderPendingItems","1193","TC_014: POST /V5.0/BinderInfo/GetBinderPendingItems","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_079: Test post /V7/Lookup/7216ConsentEnabled","1135","TC_079: POST /V7/Lookup/7216ConsentEnabled","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_104: Test post /V7/TaxCaddyAPI/SendTaxCaddyInvitationReminder","1126","TC_104: POST /V7/TaxCaddyAPI/SendTaxCaddyInvitationReminder","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"Test authentication endpoint with invalid credentials","1103","TC_001: POST /V5.0/Authenticate/GetToken","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_035: Test post /V5.0/Binder/GetStatesandLocalities","1231","TC_035: POST /V5.0/Binder/GetStatesandLocalities","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_078: Test post /V7/Lookup/UTSearchClientGUID","1621","TC_078: POST /V7/Lookup/UTSearchClientGUID","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_090: Test post /V5.0/TaxCaddyAPI/SendTaxCaddyInvitation","1134","TC_090: POST /V5.0/TaxCaddyAPI/SendTaxCaddyInvitation","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_096: Test post /V5.0/TaxCaddyAPI/TaxCaddyDocumentCategories","1367","TC_096: POST /V5.0/TaxCaddyAPI/TaxCaddyDocumentCategories","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_041: Test post /V7/Binder/CreateBinder","1244","TC_041: POST /V7/Binder/CreateBinder","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_074: Test post /V7/Lookup/ServiceUnits","1205","TC_074: POST /V7/Lookup/ServiceUnits","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_021: Test post /V7/BinderInfo/GetUnreviewedStickyNotes","1167","TC_021: POST /V7/BinderInfo/GetUnreviewedStickyNotes","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
"TC_080: Test post /V5.0/Binder/GetStatus","1174","TC_080: POST /V5.0/Binder/GetStatus","tests","2026-02-06","passed","2026-02-06","TestSwaggerAPIs","test_TY2025_swagger_apis","",""
